Arabic,English,Transliteration
عَالَجَ \ يُعَالِجُ \ عَالِجْ \ مُعَالَجَةٌ,"To treat, cure",‘ālaja / yu‘āliju / ‘ālij / mu‘ālajah
اِشْتَكَى \ يَشْتَكِي \ اِشْتَكِ \ اِشْتِكَاءٌ,To complain; To suffer from,ishtakā / yashtakī / ishtaki / ishtikā’
