Arabic,English,Transliteration
ضَاعَ \ يَضِيعُ \ ضِعْ \ ضِيَاعٌ,"To be squandered, to be wasted, to be lost",daا‘a / yadiy‘u / di‘ / diyaا‘un
حَفِظَ \ يَحْفَظُ \ اِحْفَظْ \ حِفْظٌ,"To preserve, save",hafiza / yahfazu / اihfaz / hifzun
أَبْعَدَ \ يُبْعِدُ \ أَعْبِدْ \ إبْعَادٌ,"To guard against, to distance",aab‘ada / yub‘idu / aa‘bid / إb‘aاdun
خَالَطَ \ يُخَالِطُ \ خَالِطْ \ مُخَالَطَةٌ,To mix with,khaاlata / yukhaاlitu / khaاlit / mukhaاlataahun
اِغْتَرَبَ \ يَغْتَرِبُ \ اِغْتَرِبْ \ اِغْتِرَابٌ,"To migrate, go to a foreign country",اightaraba / yaghtaribu / اightarib / اightiraاbun
صَحِبَ \ يَصْحَبُ \ اِصْحَبْ \ صُحْبَةٌ,"To take along, to be a friend",sahiba / yashabu / اishab / suhbaahun
حَافَظَ \ يُحَافِظُ \ حَافِظ \ مُحَافَظَةٌ,"To preserve, to guard",haاfaza / yuhaاfizu / haاfiz / muhaاfazaahun
نَظَّفَ \ يُنَظِّفُ \ نَظِّفْ \ تَنْظِيفٌ,To clean,nazaafa / yunaziifu / naziif / tanziyfun
اِعْتَمَدَ \ يَعْتَمِدُ \ اِعْتَمِدْ \ اِعْتِمَادٌ,To rely/depend on,اi‘tamada / ya‘tamidu / اi‘tamid / اi‘timaاdun
تَسَوَّلَ \ يَتَسَوَّلُ \ تَسَوَّلْ \ تَسَوُّلٌ,To beg,tasawaala / yatasawaalu / tasawaal / tasawuulun
اِحْتَطَبَ \ يَحْتَطِبُ \ اِحْتَطِبْ \ اِحْتِطَابٌ,To gather firewood,اihtataba / yahtatibu / اihtatib / اihtitaاbun
تَصَدَّقَ \ يَتَصَدَّقُ \ تَصَدَّقْ \ تَصَدُّقٌ,To give charity,tasadaaqa / yatasadaaqu / tasadaaq / tasaduuqun
تَطَهَّرَ \ يَتَطَهَّرُ \ تَطَهَّرْ \ تَطَهُّرٌ,To purify (oneself),tatahaara / yatatahaaru / tatahaar / tatahuurun
سَلَّمَ \ يُسَلِّمُ \ سَلِّمْ \ تَسْلِيمٌ,"To give, submit, hand over",salaama / yusaliimu / saliim / tasliymun
أَمْسَكَ \ يُمْسِكُ \ أَمْسِكْ \ إِمْسَاكٌ,To hold,aamsaka / yumsiku / aamsik / إimsaاkun
دَفَعَ \ يَدْفَعُ \ اِدْفَعْ \ دَفْعٌ,"To pay, to push",dafa‘a / yadfa‘u / اidfa‘ / daf‘un
مَنَعَ \ يَمْنَعُ \ اِمْنَعْ \ مَنْعٌ,"To prevent, refuse",mana‘a / yamna‘u / اimna‘ / man‘un
أَعْرَابِيٌّ \ أَعْرَابٌ,Bedouin,aa‘raاbiyunun / aa‘raاbun
صَاحِبٌ \ أَصْحَابٌ,Companion,saاhibun / aashaاbun
حُكُومَةٌ \ حُكُومَاتٌ,Government,hukuwmaahun / hukuwmaاtun
خَادِمَةٌ \ خَادِمَاتٌ,Housemaid,khaاdimaahun / khaاdimaاtun
خِبْرَةٌ \ خِبْرَاتٌ,Experience,khibraahun / khibraاtun
رَاتِبٌ \ رَوَاتِبُ,"Wage, salary",raاtibun / rawaاtibu
سَالِمٌ \ سَالِمُونَ,"Healthy, safe, sound",saاlimun / saاlimuwna
"نِعْمَةٌ \ نِعَمٌ , أَنْعُمٌ",Blessing,"ni‘maahun / ni‘amun , aan‘umun"
مُقَابَلَةٌ \ مُقَابَلَاتٌ,Interview,muqaاbalaahun / muqaاbalaاtun
شَرْطٌ \ شُرُوطٌ,Condition,shartun / shuruwtun
وَطَنٌ \ أَوْطَانٌ,(Home)country,watanun / aawtaاnun
مُسَاعَدَةٌ \ مُسَاعَدَاتٌ,Help,musaا‘adaahun / musaا‘adaاtun
مَجَالٌ \ مَجَالَاتٌ,"Sector, field",majaاlun / majaاlaاtun
مُتَفَائِلٌ \ مُتَفَائِلُونَ,Optimistic,mutafaاiilun / mutafaاiiluwna
مُدَّةٌ \ مُدَدٌ,"Time, duration",mudaaahun / mudadun
مُخْتَلِفَةٌ \ مُخْتَلِفَاتٌ,Different,mukhtalifaahun / mukhtalifaاtun
وَظِيفَةٌ \ وَظَائِفُ,"Profession, job, function",waziyfaahun / wazaاiifu
اِتَّصَلَ (بِ) \ يَتَّصِلُ \ اِتَّصِلْ \ اِتِّصَالٌ,"To connect, call",اitaasala (bi) / yataasilu / اitaasil / اitiisaاlun
أَثَّرَ \ يُؤَثِّرُ \ أَثِّرْ \ تَأْثِيرٌ,To affect,aathaara / yuuathiiru / aathiir / taathiyrun
اِزْدَهَرَ \ يَزْدَهِرُ \ اِزْدَهِرْ \ اِزْدِهَارٌ,"To flourish, thrive",اizdahara / yazdahiru / اizdahir / اizdihaاrun
اِسْتَعْمَرَ \ يَسْتَعْمِرُ \ اِسْتَعْمِرْ \ اِسْتِعْمَارٌ,To colonize,اista‘mara / yasta‘miru / اista‘mir / اisti‘maاrun
أَقْرَضَ \ يُقْرِضُ \ أَقْرِضْ \ إِقْرَاضٌ,To loan,aaqrada / yuqridu / aaqrid / إiqraاdun
تَعَلَّمَ \ يَتَعَلَّمُ \ تَعَلَّمْ \ تَعَلُّمٌ,To learn,ta‘alaama / yata‘alaamu / ta‘alaam / ta‘aluumun
جَاءَ \ يَجِيءُ \ جِئْ \ مَجِيءٌ,To come,jaا’a / yajiy’u / jii / majiy’un
حَارَبَ \ يُحَارِبُ \ حَارِبْ \ مُحَارَبَةٌ,To fight against,haاraba / yuhaاribu / haاrib / muhaاrabaahun
شَجَّعَ \ يُشَجِّعُ \ شَجِّعْ \ تَشْجِيعٌ,"To encourage, promote",shajaa‘a / yushajii‘u / shajii‘ / tashjiy‘un
نَشَأَ \ يَنْشَأُ \ اِنْشَأْ \ نَشْأَةٌ,To originate from,nashaaa / yanshaau / اinshaa / nashaaahun
نَطَقَ \ يَنْطِقُ \ اِنْطِقْ \ نُطْقٌ,To pronounce,nataqa / yantiqu / اintiq / nutqun
هَجَرَ \ يَهْجُرُ \ اُهْجُرْ \ هِجْرَةٌ,To abandon,hajara / yahjuru / اuhjur / hijraahun
تَحَدَّثَ \ تَحَدَّثُ \ تَحَدَّثْ \ تَحَدُّثٌ,To speak,tahadaatha / tahadaathu / tahadaath / tahaduuthun
أَلَّفَ \ يُؤَلِّفُ \ أَلِّفْ \ تَأْلِيفٌ,To author,aalaafa / yuualiifu / aaliif / taaliyfun
أَنْزَلَ \ يُنْزِلُ \ أَنْزِلْ \ إِنْزَالٌ,To bring down,aanzala / yunzilu / aanzil / إinzaاlun
إِذَاعَةٌ \ إِذَاعَاتٌ,Radio,إidhaا‘aahun / إidhaا‘aاtun
أَسَاسٌ \ أُسُسٌ,Foundation,aasaاsun / aususun
مَعْنَى \ مَعَانٍ,Meaning,ma‘naā / ma‘aاnin
لَفْظٌ \ أَلْفَاظٌ,Word,lafzun / aalfaاzun
قَبِيلَةٌ \ قَبَائِلُ,Tribe,qabiylaahun / qabaاiilu
صَوْتِيَّةٌ \ صَوْتِيَّاتٌ,Recording,sawtiyaaahun / sawtiyaaاtun
تَرْجَمَةٌ \ تَرَاجِمُ,Translation,tarjamaahun / taraاjimu
تَفْسِيرٌ \ تَفَاسِيرُ,Tafseer (exegesis),tafsiyrun / tafaاsiyru
جُزْءٌ \ أَجْزَاءُ,"Portion, part",juz’un / aajzaا’u
"جَزِيرَةٌ \ جَزَائِرُ , جُزُرٌ",Peninsula (or island),"jaziyraahun / jazaاiiru , juzurun"
حَرْفٌ \ حُرُوفٌ,Letter,harfun / huruwfun
عَصْرٌ \ عُصُورٌ,"Time, era",‘asrun / ‘usuwrun
لَهْجَةٌ \ لَهْجَاتٌ,"Dialect, accent",lahjaahun / lahjaاtun
اِجْتَمَعَ \ يَجْتَمِعُ \ اِجْتَمِعْ \ اِجْتِمَاعٌ,To meet,اijtama‘a / yajtami‘u / اijtami‘ / اijtimaا‘un
أَعْلَنَ \ يُعْلِنُ \ أَعْلِنْ \ إِعْلَانٌ,To announce,aa‘lana / yu‘linu / aa‘lin / إi‘laاnun
اِنْقَسَمَ \ يَنْقَسِمُ \ اِنْقَسِمْ \ اِنْقِسَامٌ,"To be split, divided",اinqasama / yanqasimu / اinqasim / اinqisaاmun
جَمَعَ \ يَجْمَعُ \ اِجْمَعْ \ جَمْعٌ,"To collect, gather",jama‘a / yajma‘u / اijma‘ / jam‘un
خَدَمَ \ يَخْدُمُ \ اُخْدُمْ \ جِدْمَةٌ,To serve,khadama / yakhdumu / اukhdum / jidmaahun
رَفَعَ \ يَرْفَعُ \ اِرْفَعْ \ رَفْعٌ,To raise,rafa‘a / yarfa‘u / اirfa‘ / raf‘un
عَفَا (عَنْ) \ يَعْفُو \ اُعْفُ \ عَفْوٌ,To forgive,‘afaا (‘an) / ya‘fuw / اu‘fu / ‘afwun
شَارِكَ \ يُشَارِكُ \ شَارِكْ \ مُشَارَكَةٌ,To participate,shaاrika / yushaاriku / shaاrik / mushaاrakaahun
سَابَقَ \ يُسَابِقُ \ سَابِقْ \ مُسَابَقَةٌ,To compete (with one another),saاbaqa / yusaاbiqu / saاbiq / musaاbaqaahun
نَافَسَ \ يُنَافِسُ \ نَافِسْ \ مُنَافَسَةٌ,To compete,naاfasa / yunaاfisu / naاfis / munaاfasaahun
كَافَأَ \ يُكَافِئُ \ كَافِئْ \ مُكَافَأَةٌ,To reward,kaاfaaa / yukaاfiiu / kaاfii / mukaاfaaaahun
مَنَحَ \ يَمْنَحُ \ اِمْنَحْ \ مِنْحَةٌ,To award (to),manaha / yamnahu / اimnah / minhaahun
نَالَ \ يَنَالَ \ نَلْ \ نَيْلٌ,"To win, accomplish",naاla / yanaاla / nal / naylun
مُكَافَأَةٌ \ مُكَافَآتٌ,"Prize, reward",mukaاfaaaahun / mukaاfaātun
اِخْتِيَارٌ \ اِخْتِيَارَاتٌ,Choice,اikhtiyaاrun / اikhtiyaاraاtun
مَوْلُودٌ \ مَوَالِيدُ,Newborn baby,mawluwdun / mawaاliydu
خِدْمَةٌ \ خِدْمَاتٌ,Service,khidmaahun / khidmaاtun
بِطَاقَةٌ \ بِطَاقَاتٌ,Card,bitaاqaahun / bitaاqaاtun
نَحْوٌ \ أَنْحَاءٌ,"Direction, example",nahwun / aanhaا’un
دِرْعٌ \ دُرُوعٌ,Shield; Armor,dir‘un / duruw‘un
دُعَاءٌ \ أَدْعِيَةٌ,Supplication,du‘aا’un / aad‘iyaahun
صِفَةٌ \ صِفَاتٌ,Characteristic,sifaahun / sifaاtun
قِيمَةٌ \ قِيَمٌ,Value,qiymaahun / qiyamun
لَجْنَةٌ \ لِجَانٌ,Committee,lajnaahun / lijaاnun
مُبْدِعٌ \ مُبْدِعُونَ,Creative,mubdi‘un / mubdi‘uwna
مُبْلَغٌ \ مَبَالِغُ,Sum,mublaghun / mabaاlighu
مَحْبُوبٌ \ مَحْبُوبُونَ,Beloved,mahbuwbun / mahbuwbuwna
مُسَابَقَةٌ \ مُسَابَقَاتٌ,Competition,musaاbaqaahun / musaاbaqaاtun
مَشْهُورٌ \ مَشَاهِيرُ,Famous,mashhuwrun / mashaاhiyru
مَعْلُومَةٌ \ مَعْلُومَاتٌ,"Information, knowledge",ma‘luwmaahun / ma‘luwmaاtun
هَيْئَةٌ \ هَيْئَاتٌ,"Panel, committee;<br>Manner",hayiaahun / hayiaاtun
مُنَافَسَةٌ \ مُنَافَسَاتٌ,Competition,munaاfasaahun / munaاfasaاtun
اِتَّفَقَ \ يَتَّفِقُ \ اِتَّفِقْ \ اِتِّفَاقٌ,To agree,اitaafaqa / yataafiqu / اitaafiq / اitiifaاqun
أَرْسَلَ \ يُرْسِلُ \ أَرْسِلْ \ إِرْسَالٌ,To send,aarsala / yursilu / aarsil / إirsaاlun
اِنْطَلَقَ \ يَنْطَلِقُ \ اِنْطَلِقْ \ اِنْطِلَاقٌ,To depart,اintalaqa / yantaliqu / اintaliq / اintilaاqun
بَعَثَ \ يَبْعَثُ \ اِبْعَثْ \ بَعْثٌ,To send,ba‘atha / yab‘athu / اib‘ath / ba‘thun
تَجَوَّلَ \ يَتَجَوَّلُ \ تَجَوَّلْ \ تَجَوُّلٌ,"To wander, explore",tajawaala / yatajawaalu / tajawaal / tajawuulun
تَقَاتَلَ \ يَتَقَاتَلُ \ تَقَاتَلْ \ تَقَاتُلٌ,To kill one another,taqaاtala / yataqaاtalu / taqaاtal / taqaاtulun
جَعَلَ \ يَجْعَلُ \ اِجْعَلْ \ جَعْلٌ,To make,ja‘ala / yaj‘alu / اij‘al / ja‘lun
رَفَضَ \ يَرْفَضُ \ اُرْفُضْ \ رَفْضٌ,To reject,rafada / yarfadu / اurfud / rafdun
صَنَعَ \ يَصْنَعُ \ اِصْنَعْ \ صُنْعٌ \ صِنَاعَةٌ,To make/produce,sana‘a / yasna‘u / اisna‘ / sun‘un / sinaا‘aahun
طَارَ \ يَطِيرُ \ طِرْ \ طَيَرَانٌ,To fly&nbsp;,taاra / yatiyru / tir / tayaraاnun
فَرَضَ \ يَفْرِضُ \ اِفْرِضْ \ فَرْضٌ,"To compel, force",farada / yafridu / اifrid / fardun
مَلَكَ \ يَمْلِكُ \ اِمْلِكْ \ مِلْكٌ \ مُلْكٌ,To own,malaka / yamliku / اimlik / milkun / mulkun
رَبَطَ \ يَرْبِطُ \ اِرْبِطْ \ رَبْطٌ,To tie,rabata / yarbitu / اirbit / rabtun
خَبَرٌ \ أَخْبَارٌ,News,khabarun / aakhbaاrun
جَانِبٌ \ جَوَانِبٌ,"Side, part",jaاnibun / jawaاnibun
حُجَّةٌ \ حُجَجٌ,"Evidence, proof",hujaaahun / hujajun
حِمَارٌ \ حَمِيرٌ,Donkey,himaاrun / hamiyrun
حَيَوَانٌ \ حَيَوَانَاتٌ,Animal,hayawaاnun / hayawaاnaاtun
صَوْتٌ \ أَصْوَاتٌ,"Voice, sound",sawtun / aaswaاtun
عَرَبَةٌ \ عَرَبَاتٌ,"Carriage, wagon",‘arabaahun / ‘arabaاtun
فَائِدَةٌ \ فَوَائِدُ,Benefit,faاiidaahun / fawaاiidu
قَارَّةٌ \ قَارَّاتٌ,Continent,qaاraaahun / qaاraaاtun
نَدْوَةٌ \ نَدَوَاتٌ,"Conference; Council, association",nadwaahun / nadawaاtun
رِسَالَةٌ \ رَسَائِلُ \ رِسَالَاتٌ,Message,risaاlaahun / rasaاiilu / risaاlaاtun
شَبَكَةٌ \ شَبَكَاتٌ,"Web, net",shabakaahun / shabakaاtun
عَجَلَةٌ \ عَجَلَاتٌ,Wheel,‘ajalaahun / ‘ajalaاtun
سَفِينَةٌ \ سُفُنٌ,"Boat, ship, vessel",safiynaahun / sufunun
سَاكِنٌ \ سُكَّانٌ,"Resident, inhabitant; Calm",saاkinun / sukaaاnun
أَزَالَ \ يُزِيلُ \ أَزِلْ \ إِزَالَةٌ,"To remove, to stop",aazaاla / yuziylu / aazil / إizaاlaahun
اِسْتَعْمَلَ \ يَنْتَعْمِلُ \ اِسْتَعْمِلْ \ اِسْتِعْمَالٌ,To use,اista‘mala / yanta‘milu / اista‘mil / اisti‘maاlun
اِغْتَسَلَ \ يَغْتَسِلُ \ اِغْتَسِلْ \ اِغْتِسَالٌ,To shower,اightasala / yaghtasilu / اightasil / اightisaاlun
أَنْفَقَ \ يُنْفِقُ \ أَنْفِقْ \ إِنْفَاقٌ,To spend,aanfaqa / yunfiqu / aanfiq / إinfaاqun
تَسَمَّمَ \ يَتَسَمَّمُ \ تَسَمَّمْ \ تَسَمُّمٌ,To be poisoned,tasamaama / yatasamaamu / tasamaam / tasamuumun
تَكَرَّرَ \ يَتَكَرَّرُ \ تَكَرَّرْ \ تَكَرُّرٌ,To repeat,takaraara / yatakaraaru / takaraar / takaruurun
جَابَ \ يَجُوبُ \ جُبْ \ جَوَبَانٌ,"To explore, go about",jaاba / yajuwbu / jub / jawabaاnun
حَثَّ (عَلَى) \ يَحُثُّ \ حُثَّ \ حَثٌّ,"To incite, encourage",hathaa (‘alaā) / yahuthuu / huthaa / hathunun
حَرَقَ \ يَحْرِقُ \ اِحْرِقْ \ حَرْقٌ,To burn,haraqa / yahriqu / اihriq / harqun
قَاسَ \&nbsp; يَقِيسُ \ قِسْ \ قِيَاسٌ,To measure,qaاsa / &nbsp; yaqiysu / qis / qiyaاsun
لَاحَظَ \ يُلَاحِظُ \ لَاحِظْ \ مُلَاحَظَةٌ,To notice,laاhaza / yulaاhizu / laاhiz / mulaاhazaahun
مَسَحَ \ يَمْسِحُ \ اِمْسَحْ \ مَسْحٌ,To wipe,masaha / yamsihu / اimsah / mashun
اِكْتَفَى \ يَكْتَفِي \ اِكْتَفِ \ إِكْتِفَاءٌ,"To be content with, to settle for",اiktafaā / yaktafiy / اiktafi / إiktifaا’un
أَضَافَ \ يُضِيفُ \ أَضِفْ \ إِضَافَةٌ,To add,aadaاfa / yudiyfu / aadif / إidaاfaahun
كُوبٌ \ أَكْوَابٌ,"Cup, (drinking)Glass",kuwbun / aakwaاbun
وَسَخٌ \ أَوْسَاخٌ,Impurity,wasakhun / aawsaاkhun
بِيئَةٌ \ بِيئَاتٌ,"Enviroment, surroundings",biyiaahun / biyiaاtun
جَسَدٌ \ أَجْسَادٌ,Body,jasadun / aajsaاdun
حَاوِيَةٌ \ حَاوِيَاتٌ,Container,haاwiyaahun / haاwiyaاtun
"حَيْضَةٌ \ حَيْضٌ , حِيَضٌ , حَيْضَاتٌ","Menstruation, period","haydaahun / haydun , hiyadun , haydaاtun"
عِطْرٌ \ عُطُورٌ,Perfume,‘itrun / ‘utuwrun
"عَامِلٌ \ عُمَّالٌ , عَامِلُونَ",Worker,"‘aاmilun / ‘umaaاlun , ‘aاmiluwna"
مُوَاطِنٌ \ مُوَاطِنُونَ,Citizen,muwaاtinun / muwaاtinuwna
"وَجْهٌ \ وُجُوهٌ , أَوْجُهٌ",Face,"wajhun / wujuwhun , aawjuhun"
مِرْفَقٌ \ مَرَافِقُ,Elbow,mirfaqun / maraاfiqu
"يَدٌ \ أَيْدٍ , أَيَادٍ",Hand,"yadun / aaydin , aayaاdin"
"كَعْبٌ \ أَكْعُبٌ , كِعَابٌ , كُعُوبٌ",Ankle,"ka‘bun / aak‘ubun , ki‘aاbun , ku‘uwbun"
"رِجْلٌ \ أَرْجُلٌ , رُجُولٌ",Leg,"rijlun / aarjulun , rujuwlun"
مُتَحَضِّرٌ \ مُتَحَضِّرُونَ,Civilised,mutahadiirun / mutahadiiruwna
مُتَخَلِّفٌ \ مُتَخَلِّفُونَ,"Backward, underveloped",mutakhaliifun / mutakhaliifuwna
أَثْبَتَ \ يُثْبِتُ \ أُثْبِتْ \ إِثْبَاتٌ,"To prove, to verify",aathbata / yuthbitu / authbit / إithbaاtun
أَسْلَمَ \ يُسْلِمُ \ أَسْلِمْ \ إِسْلَامٌ,"To embrace Islaam, to submit",aaslama / yuslimu / aaslim / إislaاmun
أَعَارَ \ يُعِيرُ \ أَعِرْ \ إِعَارَةٌ,To lend,aa‘aاra / yu‘iyru / aa‘ir / إi‘aاraahun
اِنْقَادَ \ يَنْقَادُ \ اِنْقَدْ \ اِنْقِيَادٌ,"To submit, surrender",اinqaاda / yanqaاdu / اinqad / اinqiyaاdun
تَكَفَّلَ (بِ) \ يَتَكَفَّلُ \ تَكَفَّلْ \ تَكَفُّلٌ,To take upon oneself,takafaala (bi) / yatakafaalu / takafaal / takafuulun
"حَاسَبَ \ يُحَاسِبُ \ حَاسِبْ \ حِسَابٌ , مُحَاسَبَةٌ",To hold accountable,"haاsaba / yuhaاsibu / haاsib / hisaاbun , muhaاsabaahun"
رَحَّبَ (بِ) \ يُرَحِّبُ \ رَحِّبْ \ تَرْحِيبٌ,To welcome,rahaaba (bi) / yurahiibu / rahiib / tarhiybun
سَبَقَ \ يَسْبِقُ \ اِسْبِقْ \ سَبْقٌ,To precede,sabaqa / yasbiqu / اisbiq / sabqun
فَهِمَ \ يَفْهَمُ \ اِفْهَمْ \ فَهْمٌ,To understand,fahima / yafhamu / اifham / fahmun
ضَايَقَ \ يُضَايِقُ \ ضَايِقْ \ مُضَايَقَةٌ,"To annoy, irritate",daاyaqa / yudaاyiqu / daاyiq / mudaاyaqaahun
أَسْعَدَ \ يُسْعِدُ \ أَسْعِدْ \ إِسْعَادٌ,To bring happiness,aas‘ada / yus‘idu / aas‘id / إis‘aاdun
أَتَى \ يَأْتِي \ اِئِتِ \ إِتْيَانٌ,To come (bring with بِ),aataā / yaatiy / اiiiti / إityaاnun
فَسَدَ \ يَفْسُدُ \ اُفْسُدْ \ فَسَادٌ,To be corrupt(ed),fasada / yafsudu / اufsud / fasaاdun
صَلَحَ \ يَصْلُحُ \ اُصْلُحْ \ صَلَاحٌ,To be righteous,salaha / yasluhu / اusluh / salaاhun
أَخْرَجَ \ يُخْرِجُ \ أَخْرِجْ \ إِخْرَاجٌ,To take out,aakhraja / yukhriju / aakhrij / إikhraاjun
رُكْنٌ \ أَرْكَانٌ,Pillar,ruknun / aarkaاnun
أُمِيٌّ \ أُمِّيُّونَ,Illiterate,aumiyunun / aumiiyuuwna
عِرْقٌ \ أَعْرَاقٌ,"Descent, race",‘irqun / aa‘raاqun
حَقِيقَةٌ \ حَقَائِقُ,Fact,haqiyqaahun / haqaاiiqu
دَعْوَةٌ \ دَعَوَاتٌ,"Call, invitation",da‘waahun / da‘awaاtun
دَلِيلٌ \ أَدِلَّةٌ,Proof,daliylun / aadilaaahun
نَبِيُّ \ أَنْبِيَاءُ,Prophet,nabiyuu / aanbiyaا’u
رَغْبَةٌ \ رَغَبَاتٌ,Desire,raghbaahun / raghabaاtun
رَهْبَةٌ \ رَهَبَاتٌ,"Dread, fear",rahbaahun / rahabaاtun
زَمَانٌ \ أَزْمِنَةٌ,"Time, age, era",zamaاnun / aazminaahun
شَعْبٌ \ شُعُوبٌ,"Nation, people",sha‘bun / shu‘uwbun
شَمْسٌ \ شُمُوسٌ,Sun,shamsun / shumuwsun
"كَاتِبٌ \ كُتَّابٌ , كَاتِبُونَ , كَتَبَةٌ",Writer,"kaاtibun / kutaaاbun , kaاtibuwna , katabaahun"
شَهْوَةٌ \ شَهَوَاتٌ,"Ardent desire, lust",shahwaahun / shahawaاtun
صَالِحٌ \ صَالِحُونَ,"Suitable, righteous",saاlihun / saاlihuwna
"عَبْدٌ \ عِبَادٌ , عَبِيدٌ",Slave,"‘abdun / ‘ibaاdun , ‘abiydun"
عَمُودٌ \ أَعْمِدَةٌ,Pillar,‘amuwdun / aa‘midaahun
مُؤَرِّخٌ \ مُؤَرِّخُونَ,Historian,muuariikhun / muuariikhuwna
مُحَايِدُ \ مُحَايِدُونَ,Neutral,muhaاyidu / muhaاyiduwna
مُرْسَلٌ \ مُرْسَلُونَ,Messenger,mursalun / mursaluwna
مُعَادٍ \ مُعَادُونَ,Enemy,mu‘aاdin / mu‘aاduwna
"مِفْتَاحٌ \ مَفَاتِحُ , مَفَاتِيحُ",Key,"miftaاhun / mafaاtihu , mafaاtiyhu"
مَنْسَكٌ \ مَنَاسِكُ,Ritual,mansakun / manaاsiku
فَرْجٌ \ فُرُوجٌ,Private part,farjun / furuwjun
جِنِينٌ \ أَجِنَّةٌ,"Embryo, fetus",jiniynun / aajinaaahun
عَالَمٌ \ عَالَمُونَ,World,‘aاlamun / ‘aاlamuwna
عَرَبِيٌّ \ عَرَبٌ,Arab,‘arabiyunun / ‘arabun
"أَعْجَمِيٌّ \ أَعْجَمِيُّونَ , أَعَاجِمُ",Non-Arab,"aa‘jamiyunun / aa‘jamiyuuwna , aa‘aاjimu"
رَبٌّ \ أَرْبَابٌ,Lord,rabunun / aarbaاbun
اِحْتَرَمَ \ يَحْتَرِمُ \ اِحْتَرِمْ \ اِحْتِرَامٌ,To respect,اihtarama / yahtarimu / اihtarim / اihtiraاmun
أَخْبَرَ \ يُخْبِرُ \ أَخْبِرْ \ إِخْبَارٌ,To inform,aakhbara / yukhbiru / aakhbir / إikhbaاrun
خَالَفَ \ يُخَالِفُ \ خَالِفْ \ مُخَالَفَةٌ,"To be different from, be contrary to",khaاlafa / yukhaاlifu / khaاlif / mukhaاlafaahun
أَخْطَأَ \ يُخْطِئُ \ أَخْطِئْ \ إِخْطَاءٌ,"To be mistaken, to be wrong",aakhtaaa / yukhtiiu / aakhtii / إikhtaا’un
بَثَّ \ يَبُثُّ \ بُثَّ \ بَثٌّ,"To spread, propagate",bathaa / yabuthuu / buthaa / bathunun
أَتَمَّ \ يُتِمُّ \ أَتِمْ \ إِتْمَامٌ,"To complete, finish",aatamaa / yutimuu / aatim / إitmaاmun
مَزَّقَ \ يُمَزِّقُ \ مَزِّقْ \ تَمْزِيقٌ,"To tear up, rip apart",mazaaqa / yumaziiqu / maziiq / tamziyqun
تَنَاقَضَ \ يَتَنَاقَضُ \ تَنَاقَضْ \ تَنَاقُضٌ,To contradict,tanaاqada / yatanaاqadu / tanaاqad / tanaاqudun
عَامَلَ \ يُعَامِلُ \ عَامِلْ \ مُعَامَلَةٌ,"To deal with, treat",‘aاmala / yu‘aاmilu / ‘aاmil / mu‘aاmalaahun
قَلَّدَ \ يُقَلِّدُ \ قَلِّدْ \ تَقْلِيدٌ,"To imitate, copy",qalaada / yuqaliidu / qaliid / taqliydun
كَلَّفَ \ يُكَلِّفُ \ كَلِّفْ \ تَكْلِيفٌ,"To require, to ask someone to do something",kalaafa / yukaliifu / kaliif / takliyfun
وَلَّى \ يُوَلِّي \ وَلِّ \ تَوْلِيَةٌ,"To empower, authorise, appoint as ruler",walaaā / yuwaliiy / walii / tawliyaahun
نَفَعَ \ يَنْفَعُ \ اِنْفَعْ \ نَفْعٌ,To benefit,nafa‘a / yanfa‘u / اinfa‘ / naf‘un
نَسِيَ \ يَنْسَى \ اِنْسَ \ نِسْيَانٌ,To forget,nasiya / yansaā / اinsa / nisyaاnun
أَجْنَبِيٌّ \ أَجَانِبُ,"Foreign, foreigner",aajnabiyunun / aajaاnibu
قَاضٍ \ قُضَاةٌ,Judge,qaاdin / qudaاahun
ثَرْوَةٌ \ ثَرَوَاتٌ,"Fortune, wealth, treasure",tharwaahun / tharawaاtun
مُرَاهِقٌ \ مُرَاهِقُونَ,"Teenage, adolescent",muraاhiqun / muraاhiquwna
جَادٌّ \ جَادُّونَ,"Hard worker, serious",jaاdunun / jaاduuwna
مُهَاجِرٌ \ مُهَاجِرُونَ,Migrant,muhaاjirun / muhaاjiruwna
جَيْشٌ \ جُيُوشٌ,Army,jayshun / juyuwshun
صَغِيرٌ \ صِغَارٌ,"Small, young",saghiyrun / sighaاrun
غَزْوَةٌ \ غَزْوَاتٌ,Militairy expedition,ghazwaahun / ghazwaاtun
كَبِيرٌ \ كِبَارٌ,"Big, senior",kabiyrun / kibaاrun
حِكْمَةٌ \ حِكَمٌ,Wisdom,hikmaahun / hikamun
تَجْرِبَةٌ \ تَجَارِبُ,Experience,tajribaahun / tajaاribu
خَالٌّ \ أَخْوَالٌ,Maternal uncle,khaاlunun / aakhwaاlun
مَسْؤُولِيَّةٌ \ مَسْؤُولِيَّاتٌ,Responsibility,masuuwliyaaahun / masuuwliyaaاtun
شَيْخٌ \ شُيُوخٌ,"Elder, Shaykh",shaykhun / shuyuwkhun
"مَوْضُوعٌ \ مَوْضُوعَاتٌ , مَوَاضِيعُ",Subject,"mawduw‘un / mawduw‘aاtun , mawaاdiy‘u"
اِتَّحَدَ \ يَتَّحِدُ \ اِتَّحِدْ \ اِتِّحَادٌ,To unite,اitaahada / yataahidu / اitaahid / اitiihaاdun
